ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
814	Bahnar-Pleiku	bdq	pig		ɲuŋ	ɲ u ŋ	H u N	N V N	N Y N	4	1693
815	Bru-Talan	oog	pig		lik	l i k	l i k	R V K	L I K	9	1694
816	Bru-Ubon	bru	pig		ʔaːliːʔ	ʔ aː l iː ʔ	7 a l i 7	H V R V H	H A L I H	9	1694
817	Khmer-Surin	kxm	pig		ʨruːɁ	ʨ r uː Ɂ	C r u 7	K R V H	C R Y H	12	1681
818	Khmer-Standard	khm	pig		cruːɁ	c r uː Ɂ	T r u 7	K R V H	C R Y H	12	1681
819	Mon	mnw	pig		kloc	k l o c	k l o T	K R V K	K L U C	16	1685
820	Vietnamese	vie	pig		heocúi	heo cúi	h T	H K	H C	25	1691
821	Bahnar-Golar	bdq	pigeon/dove		kətəːp	k ə t əː p	k I t I p	K V T V P	K E T E P	6	1714
822	Bahnar-Kontum	bdq	pigeon/dove		kətəːp	k ə t əː p	k I t I p	K V T V P	K E T E P	6	1714
823	Bahnar-Pleiku	bdq	pigeon/dove		kətəːp	k ə t əː p	k I t I p	K V T V P	K E T E P	6	1714
824	Bru-Talan	oog	pigeon/dove		kuː	k uː	k u	K V	K Y	5	1713
825	Bru-Ubon	bru	pigeon/dove		təriap	t ə r ia p	t I r i p	T V R V P	T E R I P	9	1717
826	Khmer-Surin	kxm	pigeon/dove		priəp	p r iə p	p r i p	P R V P	P R I P	12	1697
827	Khmer-Standard	khm	pigeon/dove		priːap	p r iːa p	p r i p	P R V P	P R I P	12	1697
828	Mon	mnw	pigeon/dove		hərap	h ə r a p	h I r a p	H V R V P	H E R A P	12	1697
829	Vietnamese	vie	pigeon/dove		cu	c u	T u	K V	C Y	5	1713
830	Bahnar-Golar	bdq	rain		miː	m iː	m i	M V	M I	2	1724
831	Bahnar-Kontum	bdq	rain		ʔmiː	ʔ m iː	7 m i	H M V	H M I	2	1724
832	Bahnar-Pleiku	bdq	rain		ʔmiː	ʔ m iː	7 m i	H M V	H M I	2	1724
833	Bru-Talan	oog	rain		təŋ	t ə ŋ	t I N	T V N	T E N	7	1729
834	Bru-Ubon	bru	rain		me̤a	m e̤a	m e	M V	M E	2	1724
835	Khmer-Surin	kxm	rain		pʰlɪːɲ	pʰ l ɪː ɲ	p l i H	P R V N	P L I N	10	1718
836	Khmer-Standard	khm	rain		pliəŋ	p l iə ŋ	p l i N	P R V N	P L I N	10	1718
837	Mon	mnw	rain		pròa	p r ò a	p r o a	P R V V	P R U A	12	1720
838	Vietnamese	vie	rain		mưa	m u a	m u a	M V V	M Y A	2	1724
839	Bahnar-Golar	bdq	rat/mouse		kənɛː	k ə n ɛː	k I n E	K V N V	K E N E	3	1743
840	Bahnar-Kontum	bdq	rat/mouse		kənɛː	k ə n ɛː	k I n E	K V N V	K E N E	3	1743
841	Bahnar-Pleiku	bdq	rat/mouse		kənɛː	k ə n ɛː	k I n E	K V N V	K E N E	3	1743
842	Bru-Talan	oog	rat/mouse		bəl	b ə l	b I l	P V R	P E L	9	1752
843	Bru-Ubon	bru	rat/mouse		kənaj	k ə n a j	k I n a y	K V N V J	K E N A J	3	1743
844	Khmer-Surin	kxm	rat/mouse		knʌr	k n ʌ r	k n o r	K N V R	K N E R	14	1734
845	Khmer-Standard	khm	rat/mouse		kɑndol	k ɑ n d o l	k o n d o l	K V N T V R	K A N T U L	14	1734
846	Mon	mnw	rat/mouse		nəɛʔ	n əɛ ʔ	n I 7	N V H	N E H	3	1743
847	Vietnamese	vie	rat/mouse		chuột	c h u o t	T h u o t	K H V V T	C H Y U T	42	1749
848	Bahnar-Golar	bdq	red		ɓreː	ɓ r eː	b r e	P R V	P R E	10	1753
849	Bahnar-Kontum	bdq	red		ɓreː	ɓ r eː	b r e	P R V	P R E	10	1753
850	Bahnar-Pleiku	bdq	red		ɓreː	ɓ r eː	b r e	P R V	P R E	10	1753
851	Bru-Talan	oog	red		səcʰaʔw	s ə cʰ a ʔ w	s I T a 7 w	S V K V H W	S E C A H W	13	1756
852	Bru-Ubon	bru	red		kəsaw	k ə s a w	k I s a w	K V S V W	K E S A W	13	1756
853	Khmer-Surin	kxm	red		kʰɑːm	kʰ ɑː m	k o m	K V M	K A M	14	1757
854	Khmer-Standard	khm	red		krɑhɑːm	k r ɑ h ɑː m	k r o h o m	K R V H V M	K R A H A M	14	1757
855	Mon	mnw	red		haket	h a k e t	h a k e t	H V K V T	H A K E T	22	1762
856	Vietnamese	vie	red		đỏ	đ o	8 o	T V	D U	27	1766
857	Bahnar-Golar	bdq	rice -cooked		pɔːr	p ɔː r	p o r	P V R	P U R	4	1794
858	Bahnar-Kontum	bdq	rice -cooked		pɔːr	p ɔː r	p o r	P V R	P U R	4	1794
859	Bahnar-Pleiku	bdq	rice -cooked		pɔːr	p ɔː r	p o r	P V R	P U R	4	1794
860	Bru-Talan	oog	rice -cooked		doˀoj	d oˀo j	d o y	T V J	T U J	11	1775
861	Bru-Ubon	bru	rice -cooked		doːj	d oː j	d o y	T V J	T U J	11	1775
862	Khmer-Surin	kxm	rice -cooked		baːj	b aː j	b a y	P V J	P A J	14	1778
863	Khmer-Standard	khm	rice -cooked		baːj	b aː j	b a y	P V J	P A J	14	1778
864	Mon	mnw	rice -cooked		pəŋ	p ə ŋ	p I N	P V N	P E N	20	1783
865	Vietnamese	vie	rice -cooked		cơm	c o m	T o m	K V M	C U M	40	1795
866	Bahnar-Golar	bdq	rice -unhusked		ɓaː	ɓ aː	b a	P V	P A	1	1799
867	Bahnar-Kontum	bdq	rice -unhusked		ɓaː	ɓ aː	b a	P V	P A	1	1799
868	Bahnar-Pleiku	bdq	rice -unhusked		ɓaː	ɓ aː	b a	P V	P A	1	1799
869	Bru-Talan	oog	rice -unhusked		cʰrɔˀɔ	cʰ r ɔˀɔ	T r o	K R V	C R U	6	1812
870	Bru-Ubon	bru	rice -unhusked		sərɔː	s ə r ɔː	s I r o	S V R V	S E R U	6	1812
871	Khmer-Surin	kxm	rice -unhusked		srʌw	s r ʌ w	s r o w	S R V W	S R E W	6	1812
872	Khmer-Standard	khm	rice -unhusked		sroːv	s r oː v	s r o v	S R V W	S R U B	6	1812
873	Mon	mnw	rice -unhusked		sɑʔ	s ɑ ʔ	s o 7	S V H	S A H	6	1812
874	Vietnamese	vie	rice -unhusked		lúa	l úa	l u	R V	L Y	23	1808
875	Bahnar-Golar	bdq	right -side		ʔmaː	ʔ m aː	7 m a	H M V	H M A	2	1821
876	Bahnar-Kontum	bdq	right -side		ʔmaː	ʔ m aː	7 m a	H M V	H M A	2	1821
877	Bahnar-Pleiku	bdq	right -side		ʔmaː	ʔ m aː	7 m a	H M V	H M A	2	1821
878	Bru-Talan	oog	right -side		təmʔ	t ə m ʔ	t I m 7	T V M H	T E M H	1	1816
879	Bru-Ubon	bru	right -side		ʔaːtɔ̀m	ʔ aː t ɔ̀ m	7 a t o m	H V T V M	H A T U M	1	1816
880	Khmer-Surin	kxm	right -side		sdam	s d a m	s d a m	S T V M	S T A M	1	1816
881	Khmer-Standard	khm	right -side		sdam	s d a m	s d a m	S T V M	S T A M	1	1816
882	Mon	mnw	right -side		pəŋ	p ə ŋ	p I N	P V N	P E N	8	1826
883	Vietnamese	vie	right -side		đăm	đ ă m	8 a m	T V M	D A M	1	1816
884	Bahnar-Golar	bdq	ripe/cooked		ɗuːm	ɗ uː m	d u m	T V M	T Y M	2	1829
885	Bahnar-Kontum	bdq	ripe/cooked		ɗuːm	ɗ uː m	d u m	T V M	T Y M	2	1829
886	Bahnar-Pleiku	bdq	ripe/cooked		ɗuːm	ɗ uː m	d u m	T V M	T Y M	2	1829
887	Bru-Talan	oog	ripe/cooked		ceːn	c eː n	T e n	K V N	C E N	3	1830
888	Bru-Ubon	bru	ripe/cooked		ciːn	c iː n	T i n	K V N	C I N	3	1830
889	Khmer-Surin	kxm	ripe/cooked		tum	t u m	t u m	T V M	T Y M	2	1829
890	Khmer-Standard	khm	ripe/cooked		tum	t u m	t u m	T V M	T Y M	2	1829
891	Mon	mnw	ripe/cooked		cin	c i n	T i n	K V N	C I N	3	1830
892	Vietnamese	vie	ripe/cooked		chín	c h í n	T h i n	K H V N	C H I N	3	1830
893	Bahnar-Golar	bdq	river		krɔːŋ	k r ɔː ŋ	k r o N	K R V N	K R U N	8	1858
894	Bahnar-Kontum	bdq	river		krɔːŋ	k r ɔː ŋ	k r o N	K R V N	K R U N	8	1858
895	Bahnar-Pleiku	bdq	river		krɔːŋ	k r ɔː ŋ	k r o N	K R V N	K R U N	8	1858
896	Bru-Talan	oog	river		dəˀəʔkrejh	dəˀəʔ krejh	d k	T K	T K	15	1838
897	Khmer-Standard	khm	river		tùənleː	t u ə n l eː	t u I n l e	T V V N R V	T Y E N L E	15	1838
898	Mon	mnw	river		bi	b i	b i	P V	P I	32	1848
899	Vietnamese	vie	river		sông	s ô n g	s o n g	S V N K	S U N K	8	1858
900	Bahnar-Golar	bdq	road/path		trɔːŋ	t r ɔː ŋ	t r o N	T R V N	T R U N	8	1879
901	Bahnar-Kontum	bdq	road/path		trɔːŋ	t r ɔː ŋ	t r o N	T R V N	T R U N	8	1879
902	Bahnar-Pleiku	bdq	road/path		trɔːŋ	t r ɔː ŋ	t r o N	T R V N	T R U N	8	1879
903	Bru-Talan	oog	road/path		kərnaˀa	k ə r n aˀa	k I r n a	K V R N V	K E R N A	11	1861
904	Bru-Ubon	bru	road/path		rənaː	r ə n aː	r I n a	R V N V	R E N A	11	1861
905	Khmer-Surin	kxm	road/path		tʰnɑl	tʰ n ɑ l	t n o l	T N V R	T N A L	17	1866
906	Khmer-Standard	khm	road/path		pləw	p l ə w	p l I w	P R V W	P L E W	18	1867
907	Mon	mnw	road/path		klɑŋ	k l ɑ ŋ	k l o N	K R V N	K L A N	4	1878
908	Vietnamese	vie	road/path		sá	s á	s a	S V	S A	11	1861
909	Bahnar-Golar	bdq	root		rəh	r ə h	r I h	R V H	R E H	1	1881
910	Bahnar-Kontum	bdq	root		rəh	r ə h	r I h	R V H	R E H	1	1881
911	Bahnar-Pleiku	bdq	root		rəh	r ə h	r I h	R V H	R E H	1	1881
912	Bru-Talan	oog	root		riˀajh	r iˀa j h	r i y h	R V J H	R I J H	1	1881
913	Bru-Ubon	bru	root		re̤ːh	r e̤ː h	r e h	R V H	R E H	1	1881
914	Khmer-Surin	kxm	root		rɯh	r ɯ h	r u h	R V H	R I H	1	1881
915	Khmer-Standard	khm	root		rɨh	r ɨ h	r I h	R V H	R I H	1	1881
916	Mon	mnw	root		rə̀h	r ə̀ h	r I h	R V H	R E H	1	1881
917	Vietnamese	vie	root		rễ	r e	r e	R V	R E	1	1881
918	Bahnar-Golar	bdq	round		həpoːm	h ə p oː m	h I p o m	H V P V M	H E P U M	5	1904
919	Bahnar-Kontum	bdq	round		ʔapoːm	ʔ a p oː m	7 a p o m	H V P V M	H A P U M	5	1904
920	Bahnar-Pleiku	bdq	round		ʔapoːm	ʔ a p oː m	7 a p o m	H V P V M	H A P U M	5	1904
921	Bru-Talan	oog	round		mpoːldoːl	mpoːl doːl	m d	M T	M T	10	1887
922	Bru-Ubon	bru	round		klam	k l a m	k l a m	K R V M	K L A M	11	1888
923	Khmer-Surin	kxm	round		kmol	k m o l	k m o l	K M V R	K M U L	8	1906
924	Khmer-Standard	khm	round		muːl	m uː l	m u l	M V R	M Y L	8	1906
925	Mon	mnw	round		hadɔm	h a d ɔ m	h a d o m	H V T V M	H A T U M	22	1894
926	Vietnamese	vie	round		tròn	t r ò n	t r o n	T R V N	T R U N	34	1901
927	Bahnar-Golar	bdq	salt		bɔh	b ɔ h	b o h	P V H	P U H	4	1917
928	Bahnar-Kontum	bdq	salt		bɔh	b ɔ h	b o h	P V H	P U H	4	1917
929	Bahnar-Pleiku	bdq	salt		ɓɔh	ɓ ɔ h	b o h	P V H	P U H	4	1917
930	Bru-Talan	oog	salt		bɔˀɔj	b ɔˀɔ j	b o y	P V J	P U J	5	1918
931	Bru-Ubon	bru	salt		bɔːj	b ɔː j	b o y	P V J	P U J	5	1918
932	Khmer-Surin	kxm	salt		mmel	mm e l	m e l	M V R	M E L	7	1920
933	Khmer-Standard	khm	salt		ʔɑmbəl	ʔ ɑ m b ə l	7 o m b I l	H V M P V R	H A M P E L	7	1920
934	Mon	mnw	salt		dəŋ	d ə ŋ	d I N	T V N	T E N	15	1910
935	Vietnamese	vie	salt		muối	m u o i	m u o i	M V V V	M Y U I	5	1918
936	Bru-Ubon	bru	sand		səŋaːc	s ə ŋ aː c	s I N a T	S V N V K	S E N A C	9	1942
937	Khmer-Surin	kxm	sand		ksac	k s a c	k s a T	K S V K	K S A C	5	1939
938	Khmer-Standard	khm	sand		kʰsac	kʰ s a c	k s a T	K S V K	K S A C	5	1939
939	Mon	mnw	sand		hatɑɛ	h a t ɑɛ	h a t o	H V T V	H A T A	20	1932
940	Vietnamese	vie	sand		cát	c á t	T a t	K V T	C A T	10	1923
941	Bahnar-Golar	bdq	seed		gar	g a r	g a r	K V R	K A R	7	1972
942	Bahnar-Kontum	bdq	seed		gar	g a r	g a r	K V R	K A R	7	1972
943	Bahnar-Pleiku	bdq	seed		gar	g a r	g a r	K V R	K A R	7	1972
944	Bru-Talan	oog	seed		kəlɔˀɔŋ	k ə l ɔˀɔ ŋ	k I l o N	K V R V N	K E L U N	11	1945
945	Bru-Ubon	bru	seed		klɔːŋ	k l ɔː ŋ	k l o N	K R V N	K L U N	11	1945
946	Khmer-Surin	kxm	seed		krɯap	k r ɯa p	k r u p	K R V P	K R I P	10	1944
947	Khmer-Standard	khm	seed		kròəp	k r òə p	k r o p	K R V P	K R U P	10	1944
948	Mon	mnw	seed		mèaʔ	m èa ʔ	m e 7	M V H	M E H	27	1957
949	Vietnamese	vie	seed		hạt	h a t	h a t	H V T	H A T	46	1970
950	Bahnar-Golar	bdq	seven		təpəh	t ə p ə h	t I p I h	T V P V H	T E P E H	1	1975
951	Bahnar-Kontum	bdq	seven		təpəh	t ə p ə h	t I p I h	T V P V H	T E P E H	1	1975
952	Bahnar-Pleiku	bdq	seven		təpəh	t ə p ə h	t I p I h	T V P V H	T E P E H	1	1975
953	Bru-Talan	oog	seven		təpo:l	t ə p o: l	t I p o l	T V P V R	T E P U L	2	1977
954	Bru-Ubon	bru	seven		təpṳːl	t ə p ṳː l	t I p i l	T V P V R	T E P Y L	2	1977
955	Khmer-Standard	khm	seven		prampiː	p r a m p iː	p r a m p i	P R V M P V	P R A M P I	5	1980
956	Mon	mnw	seven		hapɔh	h a p ɔ h	h a p o h	H V P V H	H A P U H	1	1975
957	Vietnamese	vie	seven		bảy	b a y	b a i	P V V	P A Y	1	1975
958	Bahnar-Golar	bdq	shade/shadow		jəp	j ə p	y I p	J V P	J E P	8	2017
959	Bahnar-Kontum	bdq	shade/shadow		jɨp	j ɨ p	y I p	J V P	J I P	8	2017
960	Bahnar-Pleiku	bdq	shade/shadow		jəp	j ə p	y I p	J V P	J E P	8	2017
961	Bru-Talan	oog	shade/shadow		moːl	m oː l	m o l	M V R	M U L	10	1983
962	Bru-Ubon	bru	shade/shadow		tṳːp	t ṳː p	t i p	T V P	T Y P	19	1991
963	Khmer-Surin	kxm	shade/shadow		smʌːl	s m ʌː l	s m o l	S M V R	S M E L	10	1983
964	Khmer-Standard	khm	shade/shadow		srɑmaol	s r ɑ m ao l	s r o m a l	S R V M V R	S R A M A L	10	1983
965	Mon	mnw	shade/shadow		hanoɲ	h a n o ɲ	h a n o H	H V N V N	H A N U N	35	2004
966	Vietnamese	vie	shade/shadow		bóng	b ó n g	b o n g	P V N K	P U N K	56	2015
967	Bahnar-Kontum	bdq	shame/ashamed		kədəʔ	k ə d ə ʔ	k I d I 7	K V T V H	K E T E H	4	2040
968	Bahnar-Pleiku	bdq	shame/ashamed		kədəʔ	k ə d ə ʔ	k I d I 7	K V T V H	K E T E H	4	2040
969	Bru-Talan	oog	shame/ashamed		kədaˀah	k ə d aˀa h	k I d a h	K V T V H	K E T A H	4	2040
970	Bru-Ubon	bru	shame/ashamed		kumaːl	k u m aː l	k u m a l	K V M V R	K Y M A L	5	2041
971	Khmer-Standard	khm	shame/ashamed		crəɲ	c r ə ɲ	T r I H	K R V N	C R E N	13	2021
972	Mon	mnw	shame/ashamed		twa	t w a	t w a	T W V	T W A	23	2029
973	Vietnamese	vie	shame/ashamed		xâuhổ	xâu hổ	x h	K H	G H	38	2038
974	Bahnar-Golar	bdq	sharp -edged		haːn	h aː n	h a n	H V N	H A N	7	2076
975	Bahnar-Kontum	bdq	sharp -edged		haːn	h aː n	h a n	H V N	H A N	7	2076
976	Bahnar-Pleiku	bdq	sharp -edged		haːn	h aː n	h a n	H V N	H A N	7	2076
977	Bru-Talan	oog	sharp -edged		bak	b a k	b a k	P V K	P A K	17	2051
978	Bru-Ubon	bru	sharp -edged		plaː	p l aː	p l a	P R V	P L A	15	2050
979	Khmer-Surin	kxm	sharp -edged		mut	m u t	m u t	M V T	M Y T	5	2072
980	Khmer-Standard	khm	sharp -edged		mut	m u t	m u t	M V T	M Y T	5	2072
981	Mon	mnw	sharp -edged		keak	k ea k	k e k	K V K	K E K	31	2061
982	Vietnamese	vie	sharp -edged		vót	v ó t	v o t	W V T	B U T	49	2071
983	Bahnar-Golar	bdq	sick/ill		ɟiʔ	ɟ i ʔ	C i 7	K V H	C I H	4	2093
984	Bahnar-Kontum	bdq	sick/ill		ɟiʔ	ɟ i ʔ	C i 7	K V H	C I H	4	2093
985	Bahnar-Pleiku	bdq	sick/ill		ɟiʔ	ɟ i ʔ	C i 7	K V H	C I H	4	2093
986	Bru-Talan	oog	sick/ill		ʔajː	ʔ a jː	7 a y	H V J	H A J	5	2094
987	Bru-Ubon	bru	sick/ill		tiʔ	t i ʔ	t i 7	T V H	T I H	6	2095
988	Khmer-Surin	kxm	sick/ill		ʨŋɯː	ʨ ŋ ɯː	C N u	K N V	C N I	4	2093
989	Khmer-Standard	khm	sick/ill		cʰɨː	cʰ ɨː	T I	K V	C I	4	2093
990	Mon	mnw	sick/ill		jòa	j ò a	y o a	J V V	J U A	4	2093
991	Vietnamese	vie	sick/ill		bệnh	b e n h	b e n h	P V N H	P E N H	30	2092
992	Bahnar-Golar	bdq	six		tədrɔw	t ə d r ɔ w	t I d r o w	T V T R V W	T E T R U W	1	2097
993	Bahnar-Kontum	bdq	six		tədrɔw	t ə d r ɔ w	t I d r o w	T V T R V W	T E T R U W	1	2097
994	Bahnar-Pleiku	bdq	six		tədrɔw	t ə d r ɔ w	t I d r o w	T V T R V W	T E T R U W	1	2097
995	Bru-Talan	oog	six		təpat	t ə p a t	t I p a t	T V P V T	T E P A T	2	2098
996	Bru-Ubon	bru	six		təpa̤t	t ə p a̤ t	t I p a t	T V P V T	T E P A T	2	2098
997	Khmer-Standard	khm	six		prammuəj	p r a mm uə j	p r a m u y	P R V M V J	P R A M Y J	3	2099
998	Mon	mnw	six		karaɔ	k a r aɔ	k a r a	K V R V	K A R A	1	2097
999	Vietnamese	vie	six		sáu	s áu	s a	S V	S A	1	2097
1000	Bahnar-Golar	bdq	skin/bark		həkaːr	h ə k aː r	h I k a r	H V K V R	H E K A R	6	2121
1001	Bahnar-Kontum	bdq	skin/bark		ʔakaːr	ʔ a k aː r	7 a k a r	H V K V R	H A K A R	6	2121
1002	Bahnar-Pleiku	bdq	skin/bark		ʔakaːr	ʔ a k aː r	7 a k a r	H V K V R	H A K A R	6	2121
1003	Bru-Talan	oog	skin/bark		ŋkar	ŋ k a r	N k a r	N K V R	N K A R	6	2121
1004	Bru-Ubon	bru	skin/bark		ŋkar	ŋ k a r	N k a r	N K V R	N K A R	6	2121
1005	Khmer-Surin	kxm	skin/bark		sbɛːɁ	s b ɛː Ɂ	s b E 7	S P V H	S P E H	12	2106
1006	Khmer-Standard	khm	skin/bark		sbaek	s b ae k	s b a k	S P V K	S P A K	12	2106
1007	Mon	mnw	skin/bark		hnam	h n a m	h n a m	H N V M	H N A M	18	2111
1008	Vietnamese	vie	skin/bark		da	d a	d a	T V	T A	31	2119
1009	Bahnar-Golar	bdq	sky		plɛɲ	p l ɛ ɲ	p l E H	P R V N	P L E N	7	2143
1010	Bahnar-Kontum	bdq	sky		plɛɲ	p l ɛ ɲ	p l E H	P R V N	P L E N	7	2143
1011	Bahnar-Pleiku	bdq	sky		plɛɲ	p l ɛ ɲ	p l E H	P R V N	P L E N	7	2143
1012	Bru-Talan	oog	sky		praˀah	p r aˀa h	p r a h	P R V H	P R A H	6	2142
1013	Bru-Ubon	bru	sky		mənlɔ̤ŋ	m ə n l ɔ̤ ŋ	m I n l o N	M V N R V N	M E N L U N	12	2127
1014	Khmer-Surin	kxm	sky		mɪːɁ	m ɪː Ɂ	m i 7	M V H	M I H	13	2128
1015	Khmer-Standard	khm	sky		meːɁ	m eː Ɂ	m e 7	M V H	M E H	13	2128
1016	Mon	mnw	sky		takah	t a k a h	t a k a h	T V K V H	T A K A H	20	2132
1017	Vietnamese	vie	sky		trời	t r o i	t r o i	T R V V	T R U I	36	2139
1018	Bahnar-Golar	bdq	smoke		ʔɲuːj	ʔ ɲ uː j	7 H u y	H N V J	H N Y J	5	2161
1019	Bahnar-Kontum	bdq	smoke		ʔɲuːj	ʔ ɲ uː j	7 H u y	H N V J	H N Y J	5	2161
1020	Bahnar-Pleiku	bdq	smoke		ʔɲuːj	ʔ ɲ uː j	7 H u y	H N V J	H N Y J	5	2161
1021	Bru-Talan	oog	smoke		kərɲiˀiʔ	k ə r ɲ iˀi ʔ	k I r H i 7	K V R N V H	K E R N I H	8	2164
1022	Bru-Ubon	bru	smoke		pʰeaʔ	pʰ ea ʔ	p e 7	P V H	P E H	7	2163
1023	Khmer-Surin	kxm	smoke		psɛːɲ	p s ɛː ɲ	p s E H	P S V N	P S E N	14	2149
1024	Khmer-Standard	khm	smoke		psaeŋ	p s ae ŋ	p s a N	P S V N	P S A N	14	2149
1025	Mon	mnw	smoke		jèak	j èa k	y e k	J V K	J E K	20	2152
1026	Vietnamese	vie	smoke		khói	k h ó i	k h o i	K H V V	K H U I	35	2160
1027	Bahnar-Golar	bdq	snake		ɓih	ɓ i h	b i h	P V H	P I H	4	2173
1028	Bahnar-Kontum	bdq	snake		ɓih	ɓ i h	b i h	P V H	P I H	4	2173
1029	Bahnar-Pleiku	bdq	snake		ɓih	ɓ i h	b i h	P V H	P I H	4	2173
1030	Bru-Talan	oog	snake		kes̞ɛɲ	k e s̞ ɛ ɲ	k e s E H	K V S V N	K E S E N	6	2175
1031	Bru-Ubon	bru	snake		kəsan	k ə s a n	k I s a n	K V S V N	K E S A N	6	2175
1032	Khmer-Surin	kxm	snake		puah	p ua h	p u h	P V H	P Y H	4	2173
1033	Khmer-Standard	khm	snake		pùəh	p u ə h	p u I h	P V V H	P Y E H	4	2173
1034	Mon	mnw	snake		sùŋ	s u ŋ	s u N	S V N	S Y N	10	2167
1035	Vietnamese	vie	snake		rắn	r a n	r a n	R V N	R A N	6	2175
1036	Bahnar-Golar	bdq	soft -touch		rəhiak	r ə h ia k	r I h i k	R V H V K	R E H I K	5	2203
1037	Bahnar-Pleiku	bdq	soft -touch		rəmwan	r ə m w a n	r I m w a n	R V M W V N	R E M W A N	6	2204
1038	Bru-Talan	oog	soft -touch		ləŋɔːnʔ	l ə ŋ ɔː n ʔ	l I N o n 7	R V N V N H	L E N U N H	14	2181
1039	Bru-Ubon	bru	soft -touch		ləme̤ːn	l ə m e̤ː n	l I m e n	R V M V N	L E M E N	16	2183
1040	Khmer-Surin	kxm	soft -touch		tuan	t ua n	t u n	T V N	T Y N	7	2205
1041	Khmer-Standard	khm	soft -touch		lvʊəɁ	l v ʊə Ɂ	l v u 7	R W V H	L B Y H	19	2186
1042	Mon	mnw	soft -touch		dɒn	d ɒ n	d o n	T V N	T O N	7	2205
1043	Vietnamese	vie	soft -touch		mềm	m e m	m e m	M V M	M E M	16	2183
1044	Bahnar-Golar	bdq	sour		ʔjuʔ	ʔ j u ʔ	7 y u 7	H J V H	H J Y H	4	2215
1045	Bahnar-Kontum	bdq	sour		ʔjuʔ	ʔ j u ʔ	7 y u 7	H J V H	H J Y H	4	2215
1046	Bahnar-Pleiku	bdq	sour		ʔɲuʔ	ʔ ɲ u ʔ	7 H u 7	H N V H	H N Y H	4	2215
1047	Bru-Talan	oog	sour		joʔ	j o ʔ	y o 7	J V H	J U H	4	2215
1048	Bru-Ubon	bru	sour		ɲɔʔ	ɲ ɔ ʔ	H o 7	N V H	N U H	8	2219
1049	Khmer-Surin	kxm	sour		ʨuː	ʨ uː	C u	K V	C Y	4	2215
1050	Khmer-Standard	khm	sour		cuː	c uː	T u	K V	C Y	4	2215
1051	Mon	mnw	sour		pʰjah	pʰ j a h	p y a h	P J V H	P J A H	12	2208
1052	Vietnamese	vie	sour		chua	c h ua	T h u	K H V	C H Y	4	2215
1053	Bahnar-Golar	bdq	star		həŋlɔŋ	h ə ŋ l ɔ ŋ	h I N l o N	H V N R V N	H E N L U N	3	2229
1054	Bahnar-Kontum	bdq	star		həŋlɔŋ	h ə ŋ l ɔ ŋ	h I N l o N	H V N R V N	H E N L U N	3	2229
1055	Bahnar-Pleiku	bdq	star		səŋlɔŋ	s ə ŋ l ɔ ŋ	s I N l o N	S V N R V N	S E N L U N	3	2229
1056	Bru-Talan	oog	star		pəntoˀor	p ə n t oˀo r	p I n t o r	P V N T V R	P E N T U R	6	2232
1057	Bru-Ubon	bru	star		məntoːr	m ə n t oː r	m I n t o r	M V N T V R	M E N T U R	6	2232
1058	Khmer-Surin	kxm	star		pkaːj	p k aː j	p k a y	P K V J	P K A J	5	2231
1059	Khmer-Standard	khm	star		pəkaːj	p ə k aː j	p I k a y	P V K V J	P E K A J	5	2231
1060	Mon	mnw	star		hnɑŋ	h n ɑ ŋ	h n o N	H N V N	H N A N	4	2230
1061	Bahnar-Pleiku	bdq	stick of wood		ʔlɔːŋ	ʔ l ɔː ŋ	7 l o N	H R V N	H L U N	9	2255
1062	Bru-Talan	oog	stick of wood		təŋkətlɔˀɔŋ	təŋkət lɔˀɔŋ	t l	T R	T L	9	2255
1063	Bru-Ubon	bru	stick of wood		ʔaːluaŋkṳan	ʔaːluaŋ kṳan	7 k	H K	H K	9	2255
1064	Khmer-Surin	kxm	stick of wood		ʨhəː	ʨ h əː	C h I	K H V	C H E	13	2239
1065	Khmer-Standard	khm	stick of wood		cʰəː	cʰ əː	T I	K V	C E	13	2239
1066	Mon	mnw	stick of wood		cʰuʔ	cʰ u ʔ	T u 7	K V H	C Y H	13	2239
1067	Vietnamese	vie	stick of wood		cáique	cái que	T q	K K	C K	10	2236
1068	Bahnar-Golar	bdq	stone		təmɔː	t ə m ɔː	t I m o	T V M V	T E M U	1	2256
1069	Bahnar-Kontum	bdq	stone		təmɔː	t ə m ɔː	t I m o	T V M V	T E M U	1	2256
1070	Bahnar-Pleiku	bdq	stone		təmɔː	t ə m ɔː	t I m o	T V M V	T E M U	1	2256
1071	Bru-Talan	oog	stone		tʻmɔˀɔ	tʻ m ɔˀɔ	t m o	T M V	T M U	1	2256
1072	Bru-Ubon	bru	stone		təmaw	t ə m a w	t I m a w	T V M V W	T E M A W	1	2256
1073	Khmer-Surin	kxm	stone		tʰmɑː	tʰ m ɑː	t m o	T M V	T M A	1	2256
1074	Khmer-Standard	khm	stone		tʰmɔː	tʰ m ɔː	t m o	T M V	T M U	1	2256
1075	Mon	mnw	stone		mɔʔ	m ɔ ʔ	m o 7	M V H	M U H	1	2256
1076	Vietnamese	vie	stone		đá	đ á	8 a	T V	D A	29	2265
1077	Bahnar-Golar	bdq	sun/day		nar	n a r	n a r	N V R	N A R	6	2289
